Brasileiro Série A,Total played,Started,Minutes per game,Team of the week,Goals,Expected Goals (xG),Scoring frequency,Goals per game,Shots per game,Shots on target per game,Big chances missed,Goal conversion,Free kick goals,Free kick conversion,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Penalty won,Assists,Touches,Big chances created,Key passes,Accurate per game,Acc. own half,Acc. opposition half,Acc. long balls,Acc. chipped passes,Acc. crosses,Interceptions per game,Tackles per game,Possession won,Dribbled past per game,Clearances per game,Error led to shot,Error led to goal,Penalties committed,Succ. dribbles,Total duels won,Ground duels won,Aerial duels won,Possession lost,Fouls,Was fouled,Offsides,Yellow,Yellow-Red,Red cards,Nome do Jogador,Nationality,Birth date,Height,Preferred foot,Position,Shirt number,Salary
2022,29 ,22 ,71,1 ,11 ,11.08 ,187 min,0.4,2.6,0.9,8 ,15%,0 ,0%,11/61 ,0/14 ,1 ,9 ,1 ,1 ,1 ,32.0,11 ,1.0,19.7 (84%),4.9 (92%),15.1 (79%),0.9 (68%),1.0 (51%),0.3 (29%),0.1,0.3,0.6,0.4,0.1,0 ,0 ,0 ,0.5 (54%),1.6 (45%),1.5 (45%),0.1 (40%),6.9,0.3,0.7,0.6,9 ,1 ,1 ,Gabriel Barbosa,BRA,29 Aug 1996,178 cm,Left,F,10,23M €
2022,24 ,12 ,49,3 ,11 ,11.93 ,107 min,0.5,2.2,1.0,11 ,21%,0 ,0%,11/48 ,0/5 ,4 ,2 ,4 ,1 ,3 ,15.8,5 ,0.7,5.6 (73%),1.6 (87%),4.0 (67%),0.1 (75%),0.1 (50%),0.0 (0%),0.1,0.3,0.3,0.3,0.5,0 ,0 ,0 ,0.4 (48%),2.5 (48%),1.3 (39%),1.2 (63%),5.0,0.8,0.6,0.2,3 ,0 ,0 ,Pedro,BRA,19 Jun 1997,186 cm,Right,F,9,19.4M €
2022,8 ,8 ,77,1 ,1 ,1.30 ,616 min,0.1,1.6,0.9,1 ,8%,0 ,0%,1/8 ,0/5 ,1 ,0 ,0 ,0 ,2 ,42.3,1 ,1.5,20.1 (79%),4.1 (87%),16.4 (74%),0.3 (33%),0.4 (50%),0.4 (27%),0.5,1.5,0.4,0.6,0.9,0 ,0 ,0 ,1.0 (42%),6.6 (56%),5.0 (56%),1.6 (54%),11.0,1.4,2.5,1.0,3 ,0 ,0 ,Bruno Henrique,BRA,29 Dec 1990,184 cm,Right,F,27,3.1M €
2022,20 ,15 ,71,0 ,2 ,3.21 ,713 min,0.1,2.2,0.8,4 ,5%,0/1 ,0%,2/29 ,0/15 ,1 ,0 ,1 ,0 ,5 ,41.7,9 ,1.6,18.1 (81%),2.6 (84%),15.9 (74%),0.5 (69%),0.4 (50%),0.6 (23%),0.3,1.1,0.8,0.3,0.1,0 ,0 ,0 ,2.6 (52%),5.2 (45%),4.7 (47%),0.6 (37%),13.1,0.8,0.9,0.0,0 ,0 ,1 ,Everton,BRA,21 Mar 1996,174 cm,Right,F,11,11M €
2022,25 ,16 ,56,4 ,4 ,3.09 ,349 min,0.2,1.8,0.6,1 ,9%,0/6 ,0%,2/24 ,2/22 ,0 ,4 ,0 ,2 ,5 ,33.0,7 ,1.3,12.8 (80%),2.6 (80%),10.8 (66%),0.8 (63%),0.8 (68%),0.7 (19%),0.3,1.0,0.5,0.6,0.1,1 ,0 ,0 ,1.1 (53%),5.1 (59%),5.0 (61%),0.1 (23%),9.9,0.8,2.9,0.2,6 ,0 ,1 ,Marinho,BRA,28 May 1990,169 cm,Left,F,31,1.5M €
2022,8 ,2 ,28,0 ,0 ,0.07 ,0 min,0.0,0.3,0.0,0 ,0%,0 ,0%,0 ,0%,0/2 ,0 ,0 ,0 ,0 ,1 ,8.9,0 ,0.1,3.4 (64%),1.4 (73%),2.0 (55%),0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.1,0.0,0.3,0.6,0 ,0 ,0 ,0.1 (33%),1.8 (47%),0.8 (43%),1.0 (50%),3.4,0.3,0.5,0.1,1 ,0 ,Mateusão,BRA,22 Apr 2004,184 cm,Right,F,46,215K €
2022,1 ,0 ,45,0 ,0 ,0.25 ,0 min,0.0,4.0,2.0,1 ,0%,0 ,0%,0 ,0%,0/3 ,0/1 ,0 ,0 ,0 ,0 ,23.0,0 ,1.0,9.0 (100%),4.0 (100%),5.0 (83%),0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,4.0,0.0,0.0,0 ,0 ,0 ,1.0 (33%),4.0 (57%),3.0 (50%),1.0 (100%),5.0,0.0,2.0,0.0,0 ,0 ,André Luiz,BRA,22 Feb 2002,185 cm,Right,F,17,215K €
2022,1 ,0 ,45,0 ,0 ,0.25 ,0 min,0.0,4.0,2.0,1 ,0%,0 ,0%,0 ,0%,0/3 ,0/1 ,0 ,0 ,0 ,0 ,23.0,0 ,1.0,9.0 (100%),4.0 (100%),5.0 (83%),0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,4.0,0.0,0.0,0 ,0 ,0 ,1.0 (33%),4.0 (57%),3.0 (50%),1.0 (100%),5.0,0.0,2.0,0.0,0 ,0 ,André Luiz,BRA,22 Feb 2002,185 cm,Right,F,17,215K €

2022,24 ,16 ,62,6 ,3 ,6.90 ,494 min,0.1,2.2,0.7,8 ,6%,0/6 ,0%,3/29 ,0/23 ,1 ,1 ,1 ,1 ,10 ,51.8,15 ,2.3,25.7 (81%),6.3 (89%),20.9 (69%),1.6 (71%),1.9 (48%),1.5 (28%),0.2,1.5,0.5,0.6,0.1,0 ,0 ,0 ,1.2 (58%),5.3 (58%),4.8 (61%),0.5 (43%),14.8,0.4,2.0,0.1,1 ,0 ,0 ,Giorgian De Arrascaeta,URU,31 May 1994,173 cm,Right,M,14,18.4M €
2022,15 ,9 ,56,2 ,2 ,1.82 ,419 min,0.1,0.6,0.2,0 ,22%,0 ,0%,2/6 ,0/3 ,0 ,0 ,2 ,0 ,1 ,59.1,0 ,1.1,45.3 (91%),17.0 (95%),28.5 (86%),3.4 (78%),2.7 (73%),0.2 (18%),1.4,1.5,0.6,0.9,0.3,0 ,0 ,1 ,0.1 (67%),3.1 (51%),2.4 (50%),0.7 (55%),6.3,1.3,0.7,0.0,2 ,0 ,0 ,Arturo Vidal,CHI,21 May 1987,180 cm,Right,M,32,1.6M €
2021,4 ,4 ,90,0 ,0 ,0 min,0.0,1.0,0.5,1 ,0%,0 ,0%,0/3 ,0/1 ,0 ,0 ,0 ,0 ,73.0,0 ,1.3,52.8 (95%),19.8 (100%),33.0 (90%),2.0 (73%),3.3 (72%),0.0 (0%),0.8,3.0,0.8,0.8,0.8,0 ,0 ,0 ,0.8 (38%),8.3 (58%),7.5 (58%),0.8 (60%),8.0,2.0,3.8,0.0,0 ,0 ,0 ,0/0,0%,Gerson,BRA,19 May 1997,182 cm,Left,M,20,18.5M €
2022,30 ,19 ,60,5 ,2 ,2.68 ,898 min,0.1,0.8,0.4,4 ,8%,0/1 ,0%,2/16 ,0/8 ,1 ,1 ,0 ,0 ,4 ,50.8,7 ,1.4,30.3 (85%),8.0 (92%),22.9 (79%),1.1 (64%),1.6 (59%),0.6 (29%),0.6,1.5,0.6,1.0,0.2,1 ,0 ,0 ,1.4 (72%),5.3 (53%),4.9 (57%),0.4 (28%),10.6,1.1,2.1,0.0,0 ,0 ,0 ,Everton Ribeiro,BRA,9 Apr 1989,174 cm,Left,M,7,4.6M €
2022,6 ,4 ,59,0 ,0 ,0.05 ,0 min,0.0,0.3,0.2,0 ,0%,0 ,0%,0 ,0/2 ,0 ,0 ,0 ,0 ,55.2,0 ,0.7,39.3 (87%),19.7 (93%),20.2 (79%),2.8 (68%),1.7 (45%),0.5 (33%),0.5,1.3,0.2,0.8,1.3,0 ,0 ,0 ,0.3 (67%),3.8 (51%),2.0 (41%),1.8 (69%),7.5,1.8,0.3,0.0,1 ,0 ,0 ,0/0,Erick Pulgar,CHI,14 Jan 1994,186 cm,Right,M,5,5.4M €
2022,24 ,18 ,64,0 ,0 ,0.29 ,0 min,0.0,0.3,0.1,0 ,0%,0 ,0%,0 ,0%,0/1 ,0/5 ,0 ,0 ,0 ,0 ,56.7,0 ,0.4,43.2 (91%),19.3 (92%),23.9 (89%),2.0 (66%),1.1 (56%),0.1 (67%),1.0,1.8,0.2,1.0,1.0,0 ,0 ,0 ,0.4 (53%),3.3 (50%),2.5 (46%),0.9 (68%),6.3,1.3,0.3,0.0,6 ,0 ,Thiago Maia,BRA,22 Mar 1997,179 cm,Left,M,8,5.7M €
2022,17 ,7 ,40,0 ,4 ,3.23 ,171 min,0.2,1.4,0.4,1 ,17%,0 ,0%,0 ,0%,4/17 ,0/7 ,1 ,0 ,3 ,0 ,22.2,1 ,0.5,10.3 (77%),2.9 (81%),7.4 (73%),0.9 (80%),0.6 (65%),0.1 (13%),0.2,0.9,0.4,0.1,0.5,0 ,0 ,0 ,0.9 (59%),2.9 (49%),2.1 (49%),0.8 (48%),6.1,0.9,0.3,0.0,1 ,0 ,Matheus França,BRA,31 Mar 2004,184 cm,Right,M,42,4.1M €
2022,21 ,17 ,61,1 ,2 ,2.74 ,636 min,0.1,1.0,0.3,4 ,10%,0 ,0%,0 ,0%,1/14 ,1/6 ,1 ,0 ,1 ,0 ,2 ,34.3,4 ,0.8,20.2 (85%),7.9 (87%),12.4 (80%),0.8 (57%),1.2 (76%),0.1 (14%),0.5,1.1,0.3,0.8,0.9,0 ,0 ,0 ,1.0 (63%),3.5 (46%),2.7 (52%),0.9 (33%),7.0,0.3,0.6,0.0,1 ,Victor Hugo,BRA,10 May 2004,184 cm,Left,M,29,3.1M €
2022,3 ,0 ,8,0 ,0 ,0.10 ,0 min,0.0,0.3,0.0,0 ,0%,0 ,0%,0 ,0%,0/1 ,0 ,0 ,0 ,0 ,0 ,9.0,0 ,0.0,4.3 (68%),0.7 (67%),3.7 (65%),0.3 (50%),0.0 (0%),0.0 (0%),0.0,0.0,0.7,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),3.7,0.0,0.0,0.3,0 ,0 ,Matheus Gonçalves,BRA,17 May 2005,175 cm,Left,M,40,3.1M €
2022,3 ,0 ,8,0 ,0 ,0.10 ,0 min,0.0,0.3,0.0,0 ,0%,0 ,0%,0 ,0%,0/1 ,0 ,0 ,0 ,0 ,0 ,9.0,0 ,0.0,4.3 (68%),0.7 (67%),3.7 (65%),0.3 (50%),0.0 (0%),0.0 (0%),0.0,0.0,0.7,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),3.7,0.0,0.0,0.3,0 ,0 ,Matheus Gonçalves,BRA,17 May 2005,175 cm,Left,M,40,3.1M €

2022,3 ,0 ,8,0 ,0 ,0.10 ,0 min,0.0,0.3,0.0,0 ,0%,0 ,0%,0 ,0%,0/1 ,0 ,0 ,0 ,0 ,0 ,9.0,0 ,0.0,4.3 (68%),0.7 (67%),3.7 (65%),0.3 (50%),0.0 (0%),0.0 (0%),0.0,0.0,0.7,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),3.7,0.0,0.0,0.3,0 ,0 ,Matheus Gonçalves,BRA,17 May 2005,175 cm,Left,M,40,3.1M €

2022,3 ,0 ,8,0 ,0 ,0.10 ,0 min,0.0,0.3,0.0,0 ,0%,0 ,0%,0 ,0%,0/1 ,0 ,0 ,0 ,0 ,0 ,9.0,0 ,0.0,4.3 (68%),0.7 (67%),3.7 (65%),0.3 (50%),0.0 (0%),0.0 (0%),0.0,0.0,0.7,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),3.7,0.0,0.0,0.3,0 ,0 ,Matheus Gonçalves,BRA,17 May 2005,175 cm,Left,M,40,3.1M €

2022,3 ,0 ,8,0 ,0 ,0.10 ,0 min,0.0,0.3,0.0,0 ,0%,0 ,0%,0 ,0%,0/1 ,0 ,0 ,0 ,0 ,0 ,9.0,0 ,0.0,4.3 (68%),0.7 (67%),3.7 (65%),0.3 (50%),0.0 (0%),0.0 (0%),0.0,0.0,0.7,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),3.7,0.0,0.0,0.3,0 ,0 ,Matheus Gonçalves,BRA,17 May 2005,175 cm,Left,M,40,3.1M €

2022,3 ,0 ,8,0 ,0 ,0.10 ,0 min,0.0,0.3,0.0,0 ,0%,0 ,0%,0 ,0%,0/1 ,0 ,0 ,0 ,0 ,0 ,9.0,0 ,0.0,4.3 (68%),0.7 (67%),3.7 (65%),0.3 (50%),0.0 (0%),0.0 (0%),0.0,0.0,0.7,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),3.7,0.0,0.0,0.3,0 ,0 ,Matheus Gonçalves,BRA,17 May 2005,175 cm,Left,M,40,3.1M €

David Luiz,BRA,21 Apr 1987,189 cm,Right,D,23,865K €
Filipe Luís,BRA,8 Aug 1985,181 cm,Left,D,16,380K €
2022,8 ,7 ,73,0 ,0 ,0.12 ,0 min,0.0,0.3,0.1,0 ,0%,0 ,0%,0/2 ,0 ,0 ,0 ,0 ,0 ,59.3,0 ,0.0,48.6 (94%),30.9 (96%),17.8 (89%),1.9 (65%),1.3 (71%),0.0 (0%),1 ,1.0,1.1,0.0,0.5,2.9,0 ,0 ,0 ,0.1 (100%),3.1 (66%),1.8 (67%),1.4 (65%),3.3,0.4,0.5,0.0,0 ,0 ,0 ,Rodrigo Caio,BRA,16 Aug 1993,183 cm,Right,D,3,2.8M €
2022,8 ,7 ,73,0 ,0 ,0.12 ,0 min,0.0,0.3,0.1,0 ,0%,0 ,0%,0/2 ,0 ,0 ,0 ,0 ,0 ,59.3,0 ,0.0,48.6 (94%),30.9 (96%),17.8 (89%),1.9 (65%),1.3 (71%),0.0 (0%),1 ,1.0,1.1,0.0,0.5,2.9,0 ,0 ,0 ,0.1 (100%),3.1 (66%),1.8 (67%),1.4 (65%),3.3,0.4,0.5,0.0,0 ,0 ,0 ,Rodrigo Caio,BRA,16 Aug 1993,183 cm,Right,D,3,2.8M €

2022,31 ,28 ,83,0 ,2 ,1.61 ,1280 min,0.1,0.7,0.3,0 ,9%,0 ,0%,0 ,0%,1/10 ,1/12 ,0 ,1 ,1 ,0 ,6 ,67.4,5 ,0.9,35.7 (84%),15.9 (86%),20.1 (77%),1.5 (39%),0.9 (38%),0.2 (11%),8 ,0.9,2.0,0.2,0.8,1.5,1 ,0 ,0 ,1.2 (49%),5.6 (52%),4.7 (51%),0.9 (58%),13.6,1.4,1.5,0.0,Ayrton Lucas,BRA,18 Jun 1997,180 cm,Left,D,6,5.6M €
Guillermo Varela,URU,23 Mar 1993,171 cm,Right,D,2,2.1M €
2022,13 ,11 ,85,1 ,0 ,0.70 ,0 min,0.0,0.6,0.2,0 ,0%,0/2 ,0%,0/6 ,0/2 ,0 ,0 ,0 ,0 ,1 ,78.2,2 ,0.5,62.5 (91%),34.3 (93%),28.3 (87%),4.1 (60%),2.9 (57%),0.2 (33%),3 ,0.8,1.0,0.0,0.6,1.7,0 ,0 ,1 ,0.2 (67%),3.6 (58%),1.8 (49%),1.8 (71%),7.6,1.2,0.6,0.2,4 ,0 ,Léo Pereira,BRA,30 Jan 1996,189 cm,Left,D,4,3.7M €
2022,13 ,13 ,90,1 ,2 ,0.83 ,585 min,0.2,0.4,0.2,0 ,40%,0 ,0%,2/5 ,0 ,2 ,0 ,0 ,0 ,1 ,66.9,1 ,0.2,52.8 (90%),35.5 (95%),17.5 (81%),4.8 (63%),2.1 (44%),0.2 (100%),4 ,0.8,1.0,0.0,0.4,3.9,0 ,0 ,0 ,0.1 (100%),3.8 (60%),1.8 (64%),2.1 (57%),6.1,0.6,0.7,0.0,5 ,0 ,Fabrício Bruno,BRA,11 Feb 1996,192 cm,Right,D,15,3.8M €
2022,23 ,22 ,85,1 ,0 ,1.21 ,0 min,0.0,0.7,0.1,2 ,0%,0 ,0%,0 ,0%,0/17 ,0 ,0 ,0 ,0 ,0 ,62.8,1 ,0.1,46.3 (90%),32.8 (94%),13.5 (81%),3.1 (63%),2.1 (57%),0.0 (0%),7 ,1.5,1.2,0.0,0.3,4.5,2 ,0 ,0 ,0.3 (100%),4.1 (62%),1.7 (53%),2.5 (70%),6.1,1.3,0.2,0.0,5 ,Pablo,BRA,20 Jun 1991,188 cm,Right,D,30,3.3M €
2022,1 ,0 ,1,0 ,0 ,0 min,0.0,0.0,0.0,0 ,0%,0 ,0%,0 ,0%,0 ,0 ,0 ,0 ,0 ,0 ,6.0,0 ,1.0,4.0 (67%),2.0 (67%),2.0 (67%),1.0 (100%),0.0 (0%),0.0 (0%),0 ,0.0,0.0,0.0,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),2.0,0.0,0.0,0.0,0 ,0 ,Gabriel Noga,BRA,24 Jan 2002,183 cm,Right,D,14,2.1M €
2022,1 ,0 ,1,0 ,0 ,0 min,0.0,0.0,0.0,0 ,0%,0 ,0%,0 ,0%,0 ,0 ,0 ,0 ,0 ,0 ,6.0,0 ,1.0,4.0 (67%),2.0 (67%),2.0 (67%),1.0 (100%),0.0 (0%),0.0 (0%),0 ,0.0,0.0,0.0,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),2.0,0.0,0.0,0.0,0 ,0 ,Gabriel Noga,BRA,24 Jan 2002,183 cm,Right,D,14,2.1M €

2022,1 ,0 ,1,0 ,0 ,0 min,0.0,0.0,0.0,0 ,0%,0 ,0%,0 ,0%,0 ,0 ,0 ,0 ,0 ,0 ,6.0,0 ,1.0,4.0 (67%),2.0 (67%),2.0 (67%),1.0 (100%),0.0 (0%),0.0 (0%),0 ,0.0,0.0,0.0,0.0,0.0,0 ,0 ,0 ,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),2.0,0.0,0.0,0.0,0 ,0 ,Gabriel Noga,BRA,24 Jan 2002,183 cm,Right,D,14,2.1M €

2022,19 ,19 ,90,1 ,0.7,0/2 ,3.0 (80%),0.1 (100%),14 ,12 ,2 ,57 ,29 ,28 ,1 ,4 ,0 ,0 min,0.0,0.0,0.0,0 ,0%,0 ,0%,0 ,0%,0 ,0 ,0 ,0 ,0 ,0 ,34.9,0 ,0.1,17.6 (73%),15.7 (88%),1.8 (29%),3.6 (36%),1.6 (35%),0.0 (0%),8 ,0.0,0.0,0.0,0.0,1.1,0 ,Santos,BRA,16 Mar 1990,188 cm,Right,G,1,3.2M €
2022,15 ,14 ,86,0 ,1.1,0/2 ,2.4 (68%),0.4 (100%),17 ,15 ,2 ,36 ,21 ,15 ,0 ,12 ,0 ,0 min,0.0,0.0,0.0,0 ,0%,0 ,0%,0 ,0%,0 ,0 ,0 ,0 ,0 ,0 ,26.8,0 ,0.0,14.5 (77%),13.3 (92%),1.1 (27%),3.1 (44%),1.4 (57%),0.0 (0%),2 ,0.1,0.1,0.0,0.1,0.8,0 ,Hugo Souza,BRA,30 Jan 1999,199 cm,Right,G,45,3.4M €
Matheus Cunha,BRA,23 May 2001,193 cm,Right,G,25,145K €
Matheus Cunha,BRA,23 May 2001,193 cm,Right,G,25,145K €

Matheus Cunha,BRA,23 May 2001,193 cm,Right,G,25,145K €
Gabriel Barbosa,BRA,29 Aug 1996,178 cm,Left,F,10,23M €
Gabriel Barbosa,BRA,29 Aug 1996,178 cm,Left,F,10,23M €

